station_id,is_weekend,hour,target_bikes,capacity
ST0019,False,0,1,10
ST0019,False,1,0,10
ST0019,False,2,0,10
ST0019,False,3,0,10
ST0019,False,4,0,10
ST0019,False,5,0,10
ST0019,False,6,2,10
ST0019,False,7,3,10
ST0019,False,8,4,10
ST0019,False,9,1,10
ST0019,False,10,1,10
ST0019,False,11,1,10
ST0019,False,12,2,10
ST0019,False,13,2,10
ST0019,False,14,1,10
ST0019,False,15,2,10
ST0019,False,16,3,10
ST0019,False,17,2,10
ST0019,False,18,3,10
ST0019,False,19,5,10
ST0019,False,20,2,10
ST0019,False,21,4,10
ST0019,False,22,4,10
ST0019,False,23,2,10
ST0019,True,0,0,10
ST0019,True,1,0,10
ST0019,True,2,0,10
ST0019,True,3,1,10
ST0019,True,4,0,10
ST0019,True,5,0,10
ST0019,True,6,1,10
ST0019,True,7,2,10
ST0019,True,8,1,10
ST0019,True,9,0,10
ST0019,True,10,1,10
ST0019,True,11,1,10
ST0019,True,12,0,10
ST0019,True,13,2,10
ST0019,True,14,2,10
ST0019,True,15,1,10
ST0019,True,16,4,10
ST0019,True,17,3,10
ST0019,True,18,3,10
ST0019,True,19,2,10
ST0019,True,20,4,10
ST0019,True,21,3,10
ST0019,True,22,2,10
ST0019,True,23,2,10
ST0020,False,0,1,9
ST0020,False,1,1,9
ST0020,False,2,1,9
ST0020,False,3,0,9
ST0020,False,4,0,9
ST0020,False,5,2,9
ST0020,False,6,1,9
ST0020,False,7,4,9
ST0020,False,8,4,9
ST0020,False,9,3,9
ST0020,False,10,3,9
ST0020,False,11,2,9
ST0020,False,12,3,9
ST0020,False,13,3,9
ST0020,False,14,2,9
ST0020,False,15,2,9
ST0020,False,16,2,9
ST0020,False,17,5,9
ST0020,False,18,4,9
ST0020,False,19,4,9
ST0020,False,20,3,9
ST0020,False,21,3,9
ST0020,False,22,2,9
ST0020,False,23,0,9
ST0020,True,0,0,9
ST0020,True,1,0,9
ST0020,True,2,0,9
ST0020,True,3,0,9
ST0020,True,4,1,9
ST0020,True,5,0,9
ST0020,True,6,2,9
ST0020,True,7,1,9
ST0020,True,8,2,9
ST0020,True,9,1,9
ST0020,True,10,2,9
ST0020,True,11,2,9
ST0020,True,12,1,9
ST0020,True,13,2,9
ST0020,True,14,3,9
ST0020,True,15,2,9
ST0020,True,16,2,9
ST0020,True,17,3,9
ST0020,True,18,2,9
ST0020,True,19,3,9
ST0020,True,20,1,9
ST0020,True,21,2,9
ST0020,True,22,2,9
ST0020,True,23,1,9
ST0021,False,0,1,14
ST0021,False,1,0,14
ST0021,False,2,0,14
ST0021,False,3,0,14
ST0021,False,4,1,14
ST0021,False,5,0,14
ST0021,False,6,1,14
ST0021,False,7,1,14
ST0021,False,8,1,14
ST0021,False,9,2,14
ST0021,False,10,1,14
ST0021,False,11,0,14
ST0021,False,12,1,14
ST0021,False,13,1,14
ST0021,False,14,2,14
ST0021,False,15,1,14
ST0021,False,16,1,14
ST0021,False,17,2,14
ST0021,False,18,2,14
ST0021,False,19,0,14
ST0021,False,20,0,14
ST0021,False,21,0,14
ST0021,False,22,0,14
ST0021,False,23,1,14
ST0021,True,0,0,14
ST0021,True,1,0,14
ST0021,True,2,0,14
ST0021,True,3,0,14
ST0021,True,4,0,14
ST0021,True,5,0,14
ST0021,True,6,0,14
ST0021,True,7,0,14
ST0021,True,8,1,14
ST0021,True,9,0,14
ST0021,True,10,0,14
ST0021,True,11,1,14
ST0021,True,12,2,14
ST0021,True,13,1,14
ST0021,True,14,1,14
ST0021,True,15,1,14
ST0021,True,16,4,14
ST0021,True,17,1,14
ST0021,True,18,3,14
ST0021,True,19,3,14
ST0021,True,20,5,14
ST0021,True,21,0,14
ST0021,True,22,1,14
ST0021,True,23,1,14
ST0022,False,0,2,15
ST0022,False,1,2,15
ST0022,False,2,1,15
ST0022,False,3,0,15
ST0022,False,4,1,15
ST0022,False,5,1,15
ST0022,False,6,1,15
ST0022,False,7,4,15
ST0022,False,8,4,15
ST0022,False,9,4,15
ST0022,False,10,3,15
ST0022,False,11,3,15
ST0022,False,12,3,15
ST0022,False,13,1,15
ST0022,False,14,2,15
ST0022,False,15,2,15
ST0022,False,16,4,15
ST0022,False,17,5,15
ST0022,False,18,2,15
ST0022,False,19,3,15
ST0022,False,20,3,15
ST0022,False,21,3,15
ST0022,False,22,2,15
ST0022,False,23,3,15
ST0022,True,0,1,15
ST0022,True,1,2,15
ST0022,True,2,1,15
ST0022,True,3,0,15
ST0022,True,4,2,15
ST0022,True,5,1,15
ST0022,True,6,1,15
ST0022,True,7,2,15
ST0022,True,8,2,15
ST0022,True,9,1,15
ST0022,True,10,2,15
ST0022,True,11,4,15
ST0022,True,12,1,15
ST0022,True,13,2,15
ST0022,True,14,3,15
ST0022,True,15,1,15
ST0022,True,16,2,15
ST0022,True,17,2,15
ST0022,True,18,2,15
ST0022,True,19,2,15
ST0022,True,20,2,15
ST0022,True,21,2,15
ST0022,True,22,3,15
ST0022,True,23,3,15
ST0023,False,0,1,3
ST0023,False,1,1,3
ST0023,False,2,0,3
ST0023,False,3,0,3
ST0023,False,4,0,3
ST0023,False,5,0,3
ST0023,False,6,1,3
ST0023,False,7,0,3
ST0023,False,8,0,3
ST0023,False,9,0,3
ST0023,False,10,1,3
ST0023,False,11,1,3
ST0023,False,12,1,3
ST0023,False,13,0,3
ST0023,False,14,1,3
ST0023,False,15,0,3
ST0023,False,16,0,3
ST0023,False,17,0,3
ST0023,False,18,0,3
ST0023,False,19,0,3
ST0023,False,20,1,3
ST0023,False,21,0,3
ST0023,False,22,0,3
ST0023,False,23,0,3
ST0023,True,0,1,3
ST0023,True,1,1,3
ST0023,True,2,1,3
ST0023,True,3,0,3
ST0023,True,4,0,3
ST0023,True,5,0,3
ST0023,True,6,1,3
ST0023,True,7,0,3
ST0023,True,8,1,3
ST0023,True,9,1,3
ST0023,True,10,1,3
ST0023,True,11,0,3
ST0023,True,12,0,3
ST0023,True,13,0,3
ST0023,True,14,0,3
ST0023,True,15,1,3
ST0023,True,16,0,3
ST0023,True,17,1,3
ST0023,True,18,0,3
ST0023,True,19,0,3
ST0023,True,20,0,3
ST0023,True,21,1,3
ST0023,True,22,0,3
ST0023,True,23,0,3
ST0024,False,0,0,4
ST0024,False,1,0,4
ST0024,False,2,0,4
ST0024,False,3,0,4
ST0024,False,4,1,4
ST0024,False,5,0,4
ST0024,False,6,0,4
ST0024,False,7,0,4
ST0024,False,8,1,4
ST0024,False,9,1,4
ST0024,False,10,1,4
ST0024,False,11,0,4
ST0024,False,12,1,4
ST0024,False,13,1,4
ST0024,False,14,0,4
ST0024,False,15,1,4
ST0024,False,16,1,4
ST0024,False,17,1,4
ST0024,False,18,0,4
ST0024,False,19,1,4
ST0024,False,20,1,4
ST0024,False,21,1,4
ST0024,False,22,1,4
ST0024,False,23,1,4
ST0024,True,0,1,4
ST0024,True,1,1,4
ST0024,True,2,0,4
ST0024,True,3,0,4
ST0024,True,4,0,4
ST0024,True,5,0,4
ST0024,True,6,0,4
ST0024,True,7,0,4
ST0024,True,8,0,4
ST0024,True,9,1,4
ST0024,True,10,1,4
ST0024,True,11,0,4
ST0024,True,12,0,4
ST0024,True,13,1,4
ST0024,True,14,2,4
ST0024,True,15,0,4
ST0024,True,16,1,4
ST0024,True,17,1,4
ST0024,True,18,0,4
ST0024,True,19,0,4
ST0024,True,20,0,4
ST0024,True,21,0,4
ST0024,True,22,1,4
ST0024,True,23,0,4
ST0025,False,0,3,7
ST0025,False,1,3,7
ST0025,False,2,2,7
ST0025,False,3,1,7
ST0025,False,4,1,7
ST0025,False,5,1,7
ST0025,False,6,1,7
ST0025,False,7,2,7
ST0025,False,8,2,7
ST0025,False,9,4,7
ST0025,False,10,1,7
ST0025,False,11,2,7
ST0025,False,12,4,7
ST0025,False,13,2,7
ST0025,False,14,3,7
ST0025,False,15,3,7
ST0025,False,16,3,7
ST0025,False,17,3,7
ST0025,False,18,3,7
ST0025,False,19,3,7
ST0025,False,20,4,7
ST0025,False,21,1,7
ST0025,False,22,1,7
ST0025,False,23,2,7
ST0025,True,0,2,7
ST0025,True,1,2,7
ST0025,True,2,1,7
ST0025,True,3,0,7
ST0025,True,4,2,7
ST0025,True,5,0,7
ST0025,True,6,1,7
ST0025,True,7,1,7
ST0025,True,8,1,7
ST0025,True,9,2,7
ST0025,True,10,1,7
ST0025,True,11,1,7
ST0025,True,12,3,7
ST0025,True,13,2,7
ST0025,True,14,4,7
ST0025,True,15,2,7
ST0025,True,16,3,7
ST0025,True,17,3,7
ST0025,True,18,4,7
ST0025,True,19,3,7
ST0025,True,20,1,7
